Title,Published Date,Sentiment Score,Sentiment_negative,Sentiment_neutral,Sentiment_positive
"Infosys, Wipro, TCS among tech giants blacklisted in US recruiter's leaked email: 'Not the right fit'",2025-03-25,0.7016247510910034,True,False,False
"Dividend stocks in India: Infosys, HDFC Bank to Asian Paints — these five companies to reward shareholders soon",2025-03-22,0.5593165159225464,False,False,True
Jefferies says 'buy' Infosys on attractive risk-reward but cuts share price target by 15%,2025-03-25,0.5172491669654846,False,True,False
"Infosys, Wipro, TCS may struggle in FY26 as US clients cut spending",2025-03-22,0.9379081130027771,True,False,False
Infosys shares rise nearly 3% despite Jefferies' 15% target price cut,2025-03-25,0.9187806844711304,False,False,True
"TCS, HCLTech, Infosys, Wipro: Why IT stocks are rising today",2025-03-25,0.7137546539306641,False,True,False
KPA joins hands with Infosys to boost cybercrime training,2025-03-23,0.8364080190658569,False,False,True
"Stock Recommendations Today: Suzlon Energy, LIC, TCS, Infosys, Bandhan Bank On Brokerages Radar",2025-03-25,0.951364278793335,False,True,False
"TCS, HCLTech, Infosys, Wipro: Why IT stocks are rising today",2025-03-25,0.7137546539306641,False,True,False
"US recruiter's list of firms whose staff he won't hire leaked; TCS, Infosys among those named | 'The sheer pretentiousness kind of pissed me' | Inshorts",2025-03-25,0.7608132362365723,False,True,False
"Jefferies cuts Infosys stock price target to INR1,835, maintains buy",2025-03-25,0.6258808374404907,False,True,False
"TCS, Infosys hop onto Adobe’s new platform to sell AI services to clients | Mint",2025-03-25,0.496144562959671,False,True,False
"Are You Working At Tata, HP, Mahindra, Dell, Infosys, etc.? Then ‘You Are Not Right Fit’ For US Tech Company",2025-03-25,0.9111442565917969,False,True,False
"This company got most H-1B visas approved in 2024. It's not Infosys, TCS or Microsoft",2025-03-23,0.9205791354179382,False,True,False
"Infosys Share Price Highlights : Infosys closed today at ₹1631.70, up 2.48% from yesterday's ₹1592.20 | Stock Market News",2025-03-25,0.9490383863449097,False,False,True
"US recruiter’s leaked email exposes hiring criteria: non-Americans are big NO; ex-Infosys, TCS, Wipro blacklisted",2025-03-25,0.8799933791160583,True,False,False
"Sudha Murty finally breaks silence over husband Narayana Murthy 70-hour work week remarks, says 'I don't have",2025-03-22,0.7147274017333984,True,False,False
"Bad news for this company's employees in India, mass layoffs due to..., not Narayana Murthy's Infosys, Ratan Tata's TCS, Azim Premji's Wipro, the name is...",2025-03-23,0.9601524472236633,True,False,False
"Infosys, Wipro ADRs fall by 3% after Accenture raises full-year revenue forecast",2025-03-20,0.9723157286643982,True,False,False
"NSE/BSE, Top Gainers & Top Losers Today 25 Mar 2025: UltraTech Cement, Bajaj Finserv, Infosys lead gains; Zomato, IndusInd Bank drag",2025-03-25,0.8847026228904724,False,False,True
"Accenture results: TCS, HCL Tech, Infosys stocks see sharp decline - what’s the outlook for investors?",2025-03-21,0.9614812731742859,True,False,False
"“Select MIT grads, USA & Canada nationals, avoid TCS, Infosys or Cisco employees”: Leaked “elitist” hiring memo sparks outrage",2025-03-25,0.8412696719169617,True,False,False
Four IT stocks that UBS advises investors to bet on ahead of Q4 results,2025-03-25,0.9305498003959656,False,True,False
Infosys looking to hire experienced tech workers across over 40 skill sets,2025-03-20,0.802014172077179,False,False,True
IT Stocks barring Infosys and Wipro recover after initial fall on Accenture results,2025-03-21,0.9564416408538818,True,False,False
"Infosys, Wipro, TCS, other IT stocks fall up to 3% after Accenture Q2 results. Details here",2025-03-21,0.9408944249153137,True,False,False
"Infosys, Wipro, TCS among tech firms blacklisted in leaked U.S. recruiter's email",2025-03-25,0.8503559827804565,True,False,False
"H-1B visas: Are TCS, Infosys susceptible to US' immigration policy changes? Here’s what Moody’s says",2025-03-19,0.9245153665542603,False,True,False
"‘No magic wand made Infosys so large’: Sudha Murty on Narayana Murthy’s 70-hour work ethic, sacrifice and the cost of building a legacy’",2025-03-23,0.8234085440635681,False,True,False
Sensex Nifty edge up to extend winning run to 7th day HDFC Bank. Infosys major movers,2025-03-25,0.6636703014373779,False,True,False
"TCS, Infosys, HCLTech: Why major IT stocks are falling today",2025-03-19,0.9633913636207581,True,False,False
Karnataka Police Academy teams up with Infosys to sharpen cybercrime skills,2025-03-25,0.8361116051673889,False,False,True
Infosys at Mobile World Congress Barcelona 2025,2025-03-06,0.9369946122169495,False,True,False
"Infosys Q4 Results: Date, Board Meeting Agenda, Investors Call Details And More",2025-03-21,0.9328678250312805,False,True,False
Sudha Murthy opens up on husband Narayana Murthy's ‘70-hour’ work-week remark: When people are passionate…',2025-03-22,0.8313689231872559,False,True,False
"TCS, Infosys, Wipro, HCL Tech, TechM: Key takeaways from Accenture Q2 earnings",2025-03-21,0.8056368231773376,False,True,False
Infosys eyes space tech entry with bid to build & launch satellite,2025-03-17,0.7756724953651428,False,False,True
"Nifty IT rebounds from lows even as Accenture’s guidance disappoints; Mphasis, Coforge, Persistent...",2025-03-21,0.6382608413696289,False,False,True
"Infosys Q4 Update: IT giant to declare March quarter results on THIS date, consider final dividend for FY25",2025-03-15,0.9415311813354492,False,True,False
